i,j,head,kper,kstp
2,25,11.164745330810547,1,1
2,26,11.094186782836914,1,1
2,27,10.963768005371094,1,1
2,28,10.969979286193848,1,1
2,29,10.94157886505127,1,1
2,30,11.14241886138916,1,1
2,31,11.086665153503418,1,1
2,32,10.959284782409668,1,1
2,33,10.93128490447998,1,1
2,34,10.807307243347168,1,1
2,35,10.655839920043945,1,1
2,36,10.471426010131836,1,1
2,37,10.351783752441406,1,1
2,38,10.24142074584961,1,1
2,39,10.221860885620117,1,1
2,40,10.215121269226074,1,1
2,41,10.170845985412598,1,1
2,42,10.156465530395508,1,1
2,43,10.252676963806152,1,1
2,44,10.273820877075195,1,1
2,45,10.216079711914062,1,1
2,46,10.334473609924316,1,1
2,47,10.612319946289062,1,1
2,48,9.930357933044434,1,1
2,49,9.917539596557617,1,1
2,50,9.919774055480957,1,1
2,51,9.963801383972168,1,1
2,52,9.869315147399902,1,1
2,53,9.853206634521484,1,1
2,54,9.861207962036133,1,1
2,55,9.859158515930176,1,1
2,56,9.840999603271484,1,1
3,0,9.652008056640625,1,1
3,1,10.120970726013184,1,1
3,2,10.317670822143555,1,1
3,3,10.706794738769531,1,1
3,4,9.433406829833984,1,1
3,5,10.192293167114258,1,1
3,6,10.48434066772461,1,1
3,7,10.666199684143066,1,1
3,8,10.715493202209473,1,1
3,9,10.724739074707031,1,1
3,10,10.762784004211426,1,1
3,11,10.794129371643066,1,1
3,12,10.849580764770508,1,1
3,13,10.840475082397461,1,1
3,14,10.89892292022705,1,1
3,15,10.90202522277832,1,1
3,16,10.977021217346191,1,1
3,17,11.0329008102417,1,1
3,18,11.030655860900879,1,1
3,19,11.051636695861816,1,1
3,20,11.019647598266602,1,1
3,21,10.962339401245117,1,1
3,22,10.986652374267578,1,1
3,23,10.937047958374023,1,1
3,24,10.947739601135254,1,1
3,25,11.128134727478027,1,1
3,26,10.959062576293945,1,1
3,27,10.864460945129395,1,1
3,28,10.927262306213379,1,1
3,29,10.992894172668457,1,1
3,30,11.010869979858398,1,1
