i,j,head,kper,kstp
11,56,1e+30,1,1
12,0,1e+30,1,1
12,1,1e+30,1,1
12,2,1e+30,1,1
12,3,1e+30,1,1
12,4,1e+30,1,1
12,5,1e+30,1,1
12,6,1e+30,1,1
12,7,1e+30,1,1
12,8,1e+30,1,1
12,9,13.881933008451457,1,1
12,10,13.882088826327903,1,1
12,11,13.882173120106906,1,1
12,12,13.882218063901751,1,1
12,13,13.882231681454924,1,1
12,14,13.88222092139144,1,1
12,15,13.88218839893672,1,1
12,16,13.882137627041264,1,1
12,17,13.88207180686275,1,1
12,18,13.881992982530232,1,1
12,19,13.881900919597152,1,1
12,20,13.88179450211002,1,1
12,21,13.881672783584252,1,1
12,22,13.881535909767104,1,1
12,23,13.88138430757929,1,1
12,24,13.881217278657733,1,1
12,25,13.881034153834275,1,1
12,26,13.880834447793085,1,1
12,27,13.880618450613332,1,1
12,28,13.880385987248589,1,1
12,29,13.880137612622985,1,1
12,30,13.879875369867726,1,1
12,31,13.879599140841647,1,1
12,32,13.879308744777274,1,1
12,33,13.879004554126837,1,1
12,34,13.878681733565072,1,1
12,35,13.87834101557581,1,1
12,36,13.877985407741809,1,1
12,37,13.877618090164678,1,1
12,38,13.877240791709825,1,1
12,39,13.876854826094622,1,1
12,40,13.876455996853126,1,1
12,41,13.876021797052207,1,1
12,42,13.87557923063852,1,1
12,43,13.875439978978306,1,1
12,44,13.875270341122183,1,1
12,45,13.875098011577101,1,1
12,46,13.874892755171803,1,1
12,47,13.874745051776445,1,1
12,48,13.874693154734063,1,1
12,49,13.874599561755224,1,1
12,50,13.874512987888036,1,1
12,51,13.874420297814261,1,1
12,52,13.874321306990735,1,1
12,53,13.874255541039146,1,1
12,54,13.874214876982286,1,1
12,55,13.874194945181792,1,1
12,56,1e+30,1,1
13,0,1e+30,1,1
13,1,1e+30,1,1
13,2,1e+30,1,1
13,3,1e+30,1,1
13,4,1e+30,1,1
13,5,1e+30,1,1
13,6,1e+30,1,1
13,7,1e+30,1,1
13,8,13.882418797914765,1,1
13,9,13.882195882134871,1,1
13,10,13.882008060977215,1,1
13,11,13.882081076820862,1,1
13,12,13.88211934957405,1,1
13,13,13.882120339609322,1,1
13,14,13.882099729267495,1,1
13,15,13.882053111629007,1,1
13,16,13.881987873952,1,1
13,17,13.88191203633533,1,1
13,18,13.881827755860996,1,1
13,19,13.881731032919157,1,1
13,20,13.881619629755926,1,1
13,21,13.881493031766599,1,1
13,22,13.881351012603114,1,1
13,23,13.881193288223022,1,1
13,24,13.881019966120913,1,1
13,25,13.880830161953236,1,1
13,26,13.880623437405253,1,1
13,27,13.88039895918151,1,1
13,28,13.880156996455739,1,1
13,29,13.879900848226924,1,1
13,30,13.879631107448592,1,1
13,31,13.879347370641877,1,1
13,32,13.879050954159991,1,1
13,33,13.878737897590785,1,1
13,34,13.878402442854481,1,1
13,35,13.878049466437016,1,1
13,36,13.877682933447408,1,1
13,37,13.877308083353247,1,1
13,38,13.876926600047153,1,1
13,39,13.876538113769582,1,1
13,40,13.876121614570064,1,1
13,41,13.875671211114792,1,1
13,42,13.875256781398633,1,1
13,43,13.875117021329988,1,1
13,44,13.874915756825205,1,1
13,45,13.874786872653841,1,1
13,46,13.874743008093125,1,1
13,47,13.874653836364624,1,1
13,48,13.87457144085737,1,1
13,49,13.874479665044724,1,1
13,50,13.87437588037735,1,1
13,51,13.874280466334886,1,1
13,52,13.874101204110568,1,1
13,53,13.874030782496739,1,1
13,54,13.874001392162203,1,1
13,55,13.873989303984002,1,1
13,56,1e+30,1,1
14,0,1e+30,1,1
14,1,1e+30,1,1
14,2,1e+30,1,1
14,3,1e+30,1,1
14,4,1e+30,1,1
14,5,1e+30,1,1
14,6,1e+30,1,1
14,7,13.882782895917643,1,1
14,8,13.882593570558074,1,1
14,9,13.882372442216282,1,1
14,10,13.882077667674919,1,1
14,11,13.881980915665176,1,1
14,12,13.882018029799548,1,1
14,13,13.881991904805757,1,1
14,14,13.881963137797937,1,1
14,15,13.881896866035955,1,1
14,16,13.881812263415833,1,1
14,17,13.881725002239628,1,1
14,18,13.881637555061296,1,1
14,19,13.881538011589122,1,1
14,20,13.881423558048008,1,1
14,21,13.881293013301322,1,1
14,22,13.88114590161189,1,1
14,23,13.88098259098758,1,1
14,24,13.880803043431422,1,1
14,25,13.880606299426228,1,1
14,26,13.880391784509255,1,1
14,27,13.880157484040742,1,1
14,28,13.879907450672459,1,1
14,29,13.87964439749895,1,1
14,30,13.879368037066952,1,1
14,31,13.879077552270829,1,1
14,32,13.878771013479367,1,1
14,33,13.878444220267179,1,1
14,34,13.878099071245355,1,1
14,35,13.877738058746075,1,1
14,36,13.877364572752944,1,1
14,37,13.876983845316719,1,1
14,38,13.87659985334386,1,1
14,39,13.876204647495799,1,1
14,40,13.875762746089817,1,1
14,41,13.875255983134707,1,1
14,42,13.87494986258595,1,1
14,43,13.874802503077097,1,1
14,44,13.874746527996896,1,1
14,45,13.874664858895061,1,1
14,46,13.874593106886744,1,1
14,47,13.874512596480555,1,1
14,48,13.874421471624443,1,1
14,49,13.874341301380532,1,1
14,50,13.874189001118504,1,1
14,51,13.874166899050053,1,1
14,52,13.874279263516,1,1
14,53,13.874299419237875,1,1
14,54,13.874299598773712,1,1
14,55,13.87429714109088,1,1
14,56,1e+30,1,1
15,0,1e+30,1,1
15,1,1e+30,1,1
15,2,1e+30,1,1
15,3,1e+30,1,1
15,4,1e+30,1,1
15,5,1e+30,1,1
15,6,13.883090402680173,1,1
15,7,13.882935641698902,1,1
15,8,13.882760706574691,1,1
15,9,13.882564227912143,1,1
15,10,13.882351658606964,1,1
15,11,13.882169784656968,1,1
15,12,13.881938099264179,1,1
15,13,13.881819583698055,1,1
15,14,13.881817321272,1,1
15,15,13.881714676797833,1,1
15,16,13.88160118824598,1,1
15,17,13.881500476920309,1,1
15,18,13.881420651827193,1,1
15,19,13.881323368894833,1,1
15,20,13.881206400385809,1,1
15,21,13.881072395794341,1,1
15,22,13.880921306181758,1,1
15,23,13.880753079798339,1,1
15,24,13.880566853030356,1,1
15,25,13.880362648761226,1,1
15,26,13.880138937225865,1,1
15,27,13.879896225585426,1,1
15,28,13.879639081120196,1,1
15,29,13.879367889999626,1,1
15,30,13.879082277354964,1,1
15,31,13.878781660289409,1,1
15,32,13.878463383475541,1,1
15,33,13.878127448573983,1,1
15,34,13.877775908206432,1,1
15,35,13.87741001055519,1,1
15,36,13.877031543885945,1,1
15,37,13.876646875160201,1,1
15,38,13.87626380261074,1,1
15,39,13.87586388390005,1,1
15,40,13.87542604533417,1,1
15,41,13.874953031657448,1,1
15,42,13.874767079346068,1,1
15,43,13.874637402691835,1,1
15,44,13.874559746003863,1,1
15,45,13.87449088077108,1,1
15,46,13.874414915774668,1,1
15,47,13.874352107404526,1,1
15,48,13.874223333636683,1,1
15,49,13.874222477359226,1,1
15,50,13.874365747259958,1,1
15,51,13.87442985599803,1,1
15,52,13.87449362702281,1,1
15,53,13.874528320602721,1,1
15,54,13.874544687041869,1,1
15,55,13.874550951034024,1,1
15,56,1e+30,1,1
16,0,1e+30,1,1
16,1,1e+30,1,1
16,2,1e+30,1,1
16,3,1e+30,1,1
16,4,1e+30,1,1
16,5,13.88332208414099,1,1
16,6,13.883208524750975,1,1
16,7,13.883071096875824,1,1
16,8,13.88291170019063,1,1
16,9,13.882733359447913,1,1
16,10,13.882543493409125,1,1
16,11,13.882353618776161,1,1
16,12,13.882152482841311,1,1
16,13,13.881963536897983,1,1
16,14,13.881732817781643,1,1
16,15,13.88150709558427,1,1
16,16,13.881332398304364,1,1
16,17,13.881201591818774,1,1
16,18,13.88117768381971,1,1
16,19,13.881092341113927,1,1
