kper,kstp,time,k,i,j,AWq
4,46,100.0,0,38,14,-10.984007637611967
4,46,100.0,0,38,15,-12.007029987487954
4,46,100.0,0,39,1,-7.835845352175738
4,46,100.0,0,39,2,-7.758529159350246
4,46,100.0,0,39,3,-7.683948183453367
4,46,100.0,0,39,4,-7.621698812887871
4,46,100.0,0,39,5,-7.570846957534968
4,46,100.0,0,39,6,-7.532251342230893
4,46,100.0,0,39,7,-7.497295058058285
4,46,100.0,0,39,8,-7.453905812403491
4,46,100.0,0,39,9,-7.512520744133326
4,46,100.0,0,39,10,-7.681131803918561
4,46,100.0,0,39,11,-8.030098168709628
4,46,100.0,0,39,12,-8.63941862034892
4,46,100.0,0,39,13,-9.43686687785896
4,46,100.0,0,40,1,-7.675125378749385
4,46,100.0,0,40,2,-7.495082958468174
4,46,100.0,0,40,3,-7.370947854469364
4,46,100.0,0,40,4,-7.265603756729888
4,46,100.0,0,40,5,-7.162641564063733
4,46,100.0,0,40,6,-7.072817542636244
4,46,100.0,0,40,7,-6.935695562068986
4,46,100.0,0,40,8,-6.825571257776119
4,46,100.0,0,40,9,-6.721866356375813
4,46,100.0,0,40,10,-6.648194538748044
4,46,100.0,0,40,11,-6.944263585096564
4,46,100.0,0,41,2,-7.145647837974593
4,46,100.0,0,41,3,-7.002025726167517
4,46,100.0,0,41,4,-6.864420456382618
4,46,100.0,0,41,5,-6.688890645788433
4,46,100.0,0,41,6,-6.567802433379825
4,46,100.0,0,41,7,-6.432575405999728
4,46,100.0,0,41,8,-6.279931153500797
4,46,100.0,0,41,9,-5.890241242417687
4,46,100.0,0,42,2,-6.88835322469447
4,46,100.0,0,42,3,-6.553791999862256
4,46,100.0,0,42,4,-6.382054813241098
4,46,100.0,0,42,5,-6.2447029525412745
4,46,100.0,0,42,6,-6.1289957861572475
4,46,100.0,0,42,7,-6.056652508188563
4,46,100.0,0,43,3,-6.020711498058972
4,46,100.0,0,43,4,-5.946570083173924
