kper,kstp,k,i,j,SPq
2,38,0,32,30,-57.34556222844947
2,38,0,33,30,-52.64887102257353
2,38,0,33,31,-6.742749104405107
2,38,0,33,32,-16.589807058059137
2,38,0,33,33,-9.185033836934053
2,38,0,34,30,-14.887782654641455
2,38,0,34,31,-19.62421930142932
2,38,0,34,33,-12.681800580278946
2,38,0,35,33,-17.042094274779743
2,38,0,36,32,-20.300787996756753
2,38,0,36,33,-22.69836231300519
2,38,0,37,32,-28.40801290253819
2,39,0,32,30,-57.363140845102976
2,39,0,33,30,-52.631713430123
2,39,0,33,31,-6.7195318041060546
2,39,0,33,32,-16.598175733462085
2,39,0,33,33,-9.250859439558553
2,39,0,34,30,-14.898412158701717
2,39,0,34,31,-19.624987212413316
2,39,0,34,33,-12.742593233893103
2,39,0,35,33,-17.116686713490253
2,39,0,36,32,-20.368881409706773
2,39,0,36,33,-22.797388128011562
2,39,0,37,32,-28.52548909611039
2,40,0,32,30,-57.39861085820735
2,40,0,33,30,-52.62873741813746
2,40,0,33,31,-6.70763645776799
2,40,0,33,32,-16.61454922694884
2,40,0,33,33,-9.32383166933505
2,40,0,34,30,-14.916614258748723
2,40,0,34,31,-19.632506486410193
2,40,0,34,33,-12.809491300239188
2,40,0,35,33,-17.196636601707155
2,40,0,36,32,-20.441693715485485
2,40,0,36,33,-22.9021449041702
2,40,0,37,32,-28.646503078227852
2,41,0,32,30,-57.36271546506043
2,41,0,33,30,-52.554741217908145
2,41,0,33,31,-6.622170130487689
2,41,0,33,32,-16.55350691293745
2,41,0,33,33,-9.317732347614083
2,41,0,34,30,-14.856627622661449
2,41,0,34,31,-19.561411138279823
2,41,0,34,33,-12.796576648276641
2,41,0,35,33,-17.195847769244665
2,41,0,36,32,-20.43290144286425
2,41,0,36,33,-22.92614709263478
2,41,0,37,32,-28.683892406491623
2,42,0,32,30,-57.36347064237907
2,42,0,33,30,-52.52276719317615
2,42,0,33,31,-6.577485768000088
2,42,0,33,32,-16.52982438245192
2,42,0,33,33,-9.346755605630392
2,42,0,34,30,-14.83320711816475
2,42,0,34,31,-19.52700885328818
