oname,usecol,obs_name,truth,simulated,residual,nrmse_pct
arr-spq,spq,ob4308,-3.0693985429253026,-0.0813661236315965,2.988032419293706,95.71981721598759
arr-spq,spq,ob4309,-3.0693985429253026,-0.0870079200111337,2.982390622914169,95.53908567012746
arr-spq,spq,ob4310,-3.0693985429253026,-0.0932128445761168,2.9761856983491857,95.34031465232854
arr-spq,spq,ob4311,-3.0693985429253026,-0.1126020663233315,2.956796476601971,94.71919262245366
arr-spq,spq,ob4312,-3.0693985429253026,-0.1124570805552558,2.9569414623700467,94.72383715412927
arr-spq,spq,ob4313,-3.0693985429253026,-0.1585204737977298,2.910878069127573,93.24822412093468
arr-spq,spq,ob4314,-2.1881956209840085,-4.472108487947008e-07,2.1881951737731598,70.09751323781906
arr-spq,spq,ob4315,-2.1881956209840085,-0.0207123036419845,2.167483317342024,69.43402140319542
arr-spq,spq,ob4316,-2.1881956209840085,-0.0345959969266592,2.153599624057349,68.9892656586088
arr-spq,spq,ob4317,-2.1881956209840085,-0.0023097743341833,2.185885846649825,70.02353533560147
arr-spq,spq,ob4318,-2.1881956209840085,-0.0328894960071432,2.1553061249768652,69.043932386801
arr-spq,spq,ob4319,-2.1881956209840085,-0.0568606394548812,2.131334981529127,68.27603125746249
arr-spq,spq,ob4320,-2.1881956209840085,-0.0120037624103125,2.176191858573696,69.71299427160578
arr-spq,spq,ob4321,-2.1881956209840085,-0.0252378049342858,2.162957816049723,69.28904969749613
arr-spq,spq,ob4322,-2.1881956209840085,-0.0305813552178074,2.157614265766201,69.11787228552413
arr-spq,spq,ob4323,-2.1881956209840085,-0.0470234827652591,2.1411721382187494,68.59115864168218
arr-spq,spq,ob4324,-2.1881956209840085,-0.0810446687828587,2.10715095220115,67.50131045728882
arr-spq,spq,ob4325,-2.1881956209840085,-0.0661141131949989,2.1220815077890096,67.97960180465677
arr-spq,spq,ob4326,-2.1881956209840085,-0.0597624015278165,2.128433219456192,68.183075058784
arr-spq,spq,ob4327,-2.1881956209840085,-0.0923848725223255,2.095810748461683,67.13803386693965
arr-spq,spq,ob4328,-2.1881956209840085,-0.1008786745963055,2.087316946387703,66.86594003799038
arr-spq,spq,ob4329,-2.1881956209840085,-0.1607912640185507,2.027404356965458,64.94667635416818
arr-spq,spq,ob4330,-2.1881956209840085,-0.1291345634489502,2.0590610575350583,65.96077967266552
arr-spq,spq,ob4331,-2.1881956209840085,-0.1693303530283856,2.018865267955623,64.67313178553005
arr-spq,spq,ob4332,-2.1881956209840085,-0.1788610326207371,2.0093345883632714,64.36782221036162
arr-spq,spq,ob4333,-2.1881956209840085,-0.1997235520502727,1.9884720689337358,63.699503977411474
arr-spq,spq,ob4334,-2.1881956209840085,-0.220497206604044,1.9676984143799645,63.03403247718422
arr-spq,spq,ob4335,-2.108899046793528,-2.517261656369773e-08,2.1088990216209114,67.5573088073268
arr-spq,spq,ob4336,-2.108899046793528,-0.017127821532525,2.091771225261003,67.00863017643341
arr-spq,spq,ob4337,-2.108899046793528,-0.0349707369847536,2.073928309808774,66.43704313652728
arr-spq,spq,ob4338,-2.108899046793528,-0.0021016012976923,2.1067974454958356,67.48998608309569
