kper,kstp,k,i,j,CONFq
1,1,0,7,18,2.776834512892407
1,1,0,7,19,2.6907814597985134
1,1,0,7,20,2.6113056533170536
1,1,0,7,21,2.5387268195394643
1,1,0,7,22,2.4742732195205726
1,1,0,7,23,2.4186782907521494
1,1,0,7,24,2.3725203735718363
1,1,0,7,25,2.3364420467387923
1,1,0,7,26,2.3109722588683894
1,1,0,7,27,2.296543358056459
1,1,0,7,28,2.293540864662196
1,1,0,7,29,2.3023075067002328
1,1,0,7,30,2.323158173976065
1,1,0,7,31,2.356406288617448
1,1,0,7,32,2.4023909477809386
1,1,0,7,33,2.4615018799070203
1,1,0,7,34,2.5342045413473056
1,1,0,7,35,2.621067728795376
1,1,0,7,36,2.7227932544844844
1,1,0,7,37,2.8402441556730977
1,1,0,7,38,2.9744649120939126
1,1,0,7,39,3.126680762530089
1,1,0,7,40,3.2982464906560853
1,1,0,7,41,3.490476727082781
1,1,0,7,42,3.704110451608459
1,1,0,7,43,3.9365160975165523
1,1,0,7,44,4.160454704783996
1,1,0,7,45,4.127633847514627
1,1,0,7,46,4.088836541704422
1,1,0,7,47,4.0831622584725835
1,1,0,7,48,4.1096847269189585
1,1,0,7,49,4.161638430375444
1,1,0,7,50,4.231919060366252
1,1,0,7,51,4.3132394122674675
1,1,0,7,52,4.406481899083781
1,1,0,7,53,4.513764767781801
1,1,0,8,13,3.485335055020842
1,1,0,8,14,3.342771961852401
1,1,0,8,15,3.215186079257922
1,1,0,8,16,3.1002994837974427
1,1,0,8,17,2.9952564018086356
1,1,0,8,18,2.897684055651318
1,1,0,8,19,2.8072808960104183
1,1,0,8,20,2.724034168814878
1,1,0,8,21,2.6483159175897804
1,1,0,8,22,2.580889628175532
1,1,0,8,23,2.5224977120973655
1,1,0,8,24,2.47382573156632
1,1,0,8,25,2.4355265680310954
1,1,0,8,26,2.408172560537917
1,1,0,8,27,2.392250277868749
1,1,0,8,28,2.3881793701741127
1,1,0,8,29,2.3963304170332567
1,1,0,8,30,2.4170483535996254
1,1,0,8,31,2.450681443647561
1,1,0,8,32,2.4976127173289804
1,1,0,8,33,2.558293569051111
1,1,0,8,34,2.6332815332246877
1,1,0,8,35,2.723283770108779
1,1,0,8,36,2.829205851591654
1,1,0,8,37,2.952204956315807
1,1,0,8,38,3.0937487730525
1,1,0,8,39,3.2556831722137467
1,1,0,8,40,3.440314860994487
1,1,0,8,41,3.6506265871735213
1,1,0,8,42,3.891869170844421
1,1,0,8,43,4.183991830779135
1,1,0,8,44,4.182311552423283
1,1,0,8,45,4.17105498207839
1,1,0,8,46,4.167358726701341
1,1,0,8,47,4.185915061168053
1,1,0,8,48,4.2282503022226905
