kper,kstp,k,i,j,PWq
2,22,0,22,40,-3.029486263321391
2,22,0,23,40,-3.0771278846649595
2,22,0,24,39,-3.2345030814507383
2,22,0,25,39,-3.3001914117100464
2,22,0,26,38,-3.476221551404095
2,22,0,27,38,-3.553676190130496
2,22,0,28,38,-3.6096419355007052
2,22,0,29,37,-4.024288000761628
2,22,0,30,37,-4.232569430592796
2,22,0,31,37,-4.333797902021192
2,22,0,32,36,-4.609354685078173
2,22,0,33,36,-4.79558153518204
2,22,0,34,37,-5.079098431755667
2,22,0,35,37,-5.166023205606536
2,22,0,36,37,-5.281775458136577
2,22,0,37,37,-5.408194523153805
2,22,0,38,37,-5.539982728550423
2,22,0,39,38,-5.7178797160940205
2,22,0,40,38,-5.767366178886345
2,22,0,41,38,-5.825680310494593
2,22,0,42,38,-5.879047429233809
2,22,0,43,38,-5.921590255986295
2,22,0,44,38,-5.9498426930332196
2,22,0,45,37,-5.986274726508288
2,22,0,45,38,-5.961790796698624
2,23,0,22,40,-2.8969404605828846
2,23,0,23,40,-2.94281297702011
2,23,0,24,39,-3.094128953899762
2,23,0,25,39,-3.157282170302497
2,23,0,26,38,-3.3265981896931858
2,23,0,27,38,-3.4012661387933263
2,23,0,28,38,-3.457293339452831
2,23,0,29,37,-3.8537137416436087
2,23,0,30,37,-4.053338739168417
2,23,0,31,37,-4.150296759312338
2,23,0,32,36,-4.414341197138436
2,23,0,33,36,-4.592955051106023
2,23,0,34,37,-4.864894326488393
2,23,0,35,37,-4.9483071695868395
2,23,0,36,37,-5.059397972969141
2,23,0,37,37,-5.180738028642704
2,23,0,38,37,-5.307235204705082
2,23,0,39,38,-5.477949815707474
2,23,0,40,38,-5.525472192655829
2,23,0,41,38,-5.581486445277191
2,23,0,42,38,-5.632763109912964
2,23,0,43,38,-5.673652379065546
2,23,0,44,38,-5.70081908753979
2,23,0,45,37,-5.735905384326468
2,23,0,45,38,-5.712321378768033
2,24,0,22,40,-2.7766849998208367
2,24,0,23,40,-2.820852272095465
2,24,0,24,39,-2.9664090562528695
2,24,0,25,39,-3.027160825346299
2,24,0,26,38,-3.1901148477303174
2,24,0,27,38,-3.2621353419323125
2,24,0,28,38,-3.3180782897336356
2,24,0,29,37,-3.6973868596713233
2,24,0,30,37,-3.888838909143826
2,24,0,31,37,-3.9817671983828884
2,24,0,32,36,-4.234947096850949
2,24,0,33,36,-4.406356304475604
2,24,0,34,37,-4.667313288374107
2,24,0,35,37,-4.747397948918476
2,24,0,36,37,-4.854068516381968
2,24,0,37,37,-4.97058929652349
2,24,0,38,37,-5.09206272863615
2,24,0,39,38,-5.2559185566801645
2,24,0,40,38,-5.301570327035615
2,24,0,41,38,-5.355391029612106
2,24,0,42,38,-5.404670134492638
2,24,0,43,38,-5.443975082166176
2,24,0,44,38,-5.470096641453493
2,24,0,45,37,-5.503916469920028
2,24,0,45,38,-5.48116426761488
2,25,0,22,40,-2.6675611183549006
2,25,0,23,40,-2.710094561438611
2,25,0,24,39,-2.8501995439609953
2,25,0,25,39,-2.9086848094116187
2,25,0,26,38,-3.0656329458459823
2,25,0,27,38,-3.135148557805639
2,25,0,28,38,-3.1908947555056204
2,25,0,29,37,-3.5541804828727352
2,25,0,30,37,-3.737942082029212
2,25,0,31,37,-3.8270804064701283
2,25,0,32,36,-4.0700414447546045
2,25,0,33,36,-4.234657777700503
2,25,0,34,37,-4.485239211036175
2,25,0,35,37,-4.562182182894179
2,25,0,36,37,-4.664678031055418
2,25,0,37,37,-4.776644716422101
2,25,0,38,37,-4.893368170188803
2,25,0,39,38,-5.05070696944214
2,25,0,40,38,-5.094585400537771
2,25,0,41,38,-5.146324068283628
2,25,0,42,38,-5.193704119649463
2,25,0,43,38,-5.23149943482959
2,25,0,44,38,-5.25662116911106
2,25,0,45,37,-5.289252777802358
2,25,0,45,38,-5.267268540232748
2,26,0,22,40,-2.568522081149831
2,26,0,23,40,-2.609498145120504
2,26,0,24,39,-2.744460627862734
2,26,0,25,39,-2.8008136266080763
2,26,0,26,38,-2.9521105614912297
2,26,0,27,38,-3.0192646355601522
2,26,0,28,38,-3.0747289029136327
2,26,0,29,37,-3.4230472827892746
2,26,0,30,37,-3.5995938518124335
2,26,0,31,37,-3.6851780893453085
2,26,0,32,36,-3.9185557759560115
2,26,0,33,36,-4.07678820656145
2,26,0,34,37,-4.31760161550635
2,26,0,35,37,-4.391589035822894
2,26,0,36,37,-4.490155739703851
2,26,0,37,37,-4.597834186921162
2,26,0,38,37,-4.710082783554309
2,26,0,39,38,-4.861255782476812
2,26,0,40,38,-4.903459768334996
2,26,0,41,38,-4.953230432187474
2,26,0,42,38,-4.998812954137382
2,26,0,43,38,-5.035176539050067
2,26,0,44,38,-5.059346831616705
2,26,0,45,37,-5.090866631875098
2,26,0,45,38,-5.069590685721429
2,27,0,22,40,-2.4786219041097595
2,27,0,23,40,-2.5181200306213385
2,27,0,24,39,-2.648246922486464
2,27,0,25,39,-2.7025996394761322
2,27,0,26,38,-2.8485944194770174
2,27,0,27,38,-2.9135290613736022
2,27,0,28,38,-2.968648597991972
2,27,0,29,37,-3.3030153479332776
2,27,0,30,37,-3.4728105987823596
2,27,0,31,37,-3.5550705173000257
2,27,0,32,36,-3.779484103662997
2,27,0,33,36,-3.931734034367226
2,27,0,34,37,-4.163379513560612
2,27,0,35,37,-4.234594773605501
2,27,0,36,37,-4.329474691482166
