kper,kstp,time,k,i,j,AWq
4,26,80.0,0,18,5,-1.2497940003127184
4,26,80.0,0,18,6,-1.4855442870749584
4,26,80.0,0,18,7,-1.71637744430533
4,26,80.0,0,18,8,-2.0050449721152006
4,26,80.0,0,19,0,-0.8505875068996644
4,26,80.0,0,19,1,-1.321320203588641
4,26,80.0,0,19,9,-2.0570105526684728
4,26,80.0,0,19,10,-1.9621812608117466
4,26,80.0,0,19,11,-2.0178745633660853
4,26,80.0,0,19,12,-2.2745045495954486
4,26,80.0,0,20,0,-1.5162277147009888
4,26,80.0,0,20,13,-2.259013438450232
4,26,80.0,0,21,14,-2.060629651195228
4,26,80.0,0,22,14,-1.884852833344553
4,26,80.0,0,23,15,-1.7537578639408338
4,26,80.0,0,23,16,-1.7590367923850536
4,26,80.0,0,23,17,-2.043076700024642
4,26,80.0,0,23,22,-3.038005233373795
4,26,80.0,0,24,18,-2.385002886096885
4,26,80.0,0,24,19,-2.4970301165173936
4,26,80.0,0,24,20,-2.8320304343091607
4,26,80.0,0,24,21,-3.488107362263655
4,27,81.0,0,0,25,-2.9525545375861952
4,27,81.0,0,0,26,-3.6735836750661974
4,27,81.0,0,1,24,-3.8787197797036583
4,27,81.0,0,2,22,-2.3377895632611967
4,27,81.0,0,2,23,-3.6173224943979676
4,27,81.0,0,3,21,-2.1122951097179907
4,27,81.0,0,4,21,-2.7166063421392437
4,27,81.0,0,5,20,-1.8305465807454198
4,27,81.0,0,6,20,-1.9926736881451177
4,27,81.0,0,7,20,-2.3381199412570766
4,27,81.0,0,8,19,-1.5925969948011414
4,27,81.0,0,9,19,-1.725369431383612
4,27,81.0,0,10,18,-1.3761140983526303
4,27,81.0,0,17,4,-0.7335970924381243
4,27,81.0,0,17,5,-0.968680122650504
4,27,81.0,0,18,2,-1.0280120197851232
4,27,81.0,0,18,3,-1.1316758966336806
4,27,81.0,0,18,4,-1.1451573405547464
4,27,81.0,0,18,5,-1.247876591899562
