kper,kstp,time,k,i,j,SPq
4,28,82.0,0,15,27,-4.870561359923187
4,28,82.0,0,16,27,-4.187521198883502
4,28,82.0,0,17,27,-3.9828220995943866
4,28,82.0,0,18,27,-4.221332900416684
4,28,82.0,0,19,25,-2.976454641418883
4,28,82.0,0,19,26,-3.4961489239526884
4,28,82.0,0,20,24,-2.7162090025835255
4,28,82.0,0,21,24,-2.53945768928358
4,28,82.0,0,22,24,-3.114540574576239
4,28,82.0,0,23,23,-3.5053228466833275
4,29,83.0,0,12,18,-1.8663707585795493
4,29,83.0,0,12,24,-3.5330936433448414
4,29,83.0,0,12,25,-4.35203167633054
4,29,83.0,0,13,19,-1.763832068856928
4,29,83.0,0,13,23,-2.8912761355868213
4,29,83.0,0,13,26,-4.601997792086223
4,29,83.0,0,14,19,-2.0006886354923097
4,29,83.0,0,14,20,-1.9818158998183435
4,29,83.0,0,14,21,-2.1698367925367705
4,29,83.0,0,14,22,-2.551422048530398
4,29,83.0,0,14,26,-4.002064905239138
4,29,83.0,0,15,27,-4.892857783297615
4,29,83.0,0,16,27,-4.2065322351404575
4,29,83.0,0,17,27,-3.999848228100319
4,29,83.0,0,18,27,-4.237461334098981
4,29,83.0,0,19,25,-2.989139669765038
4,29,83.0,0,19,26,-3.5089034726426434
4,29,83.0,0,20,24,-2.726874141791015
4,29,83.0,0,21,24,-2.5475740163191887
4,29,83.0,0,22,24,-3.1224962746637814
4,29,83.0,0,23,23,-3.5133353821606477
4,30,84.0,0,12,18,-1.8783966762131712
4,30,84.0,0,12,24,-3.563056383283225
4,30,84.0,0,12,25,-4.385789077100725
4,30,84.0,0,13,19,-1.7760823599627003
4,30,84.0,0,13,23,-2.9157548442409222
4,30,84.0,0,13,26,-4.635120310214177
4,30,84.0,0,14,19,-2.012266998639177
4,30,84.0,0,14,20,-1.9956019235634983
4,30,84.0,0,14,21,-2.1866314163545155
4,30,84.0,0,14,22,-2.5719970995922523
4,30,84.0,0,14,26,-4.031582730212307
4,30,84.0,0,15,27,-4.924764766391149
4,30,84.0,0,16,27,-4.234157522923056
4,30,84.0,0,17,27,-4.024568815930536
4,30,84.0,0,18,27,-4.260301512809548
4,30,84.0,0,19,25,-3.0068478213506182
4,30,84.0,0,19,26,-3.527030204820022
4,30,84.0,0,20,24,-2.74153289528401
4,30,84.0,0,21,24,-2.558919855968462
4,30,84.0,0,22,24,-3.133223802603794
4,30,84.0,0,23,23,-3.5240249492750166
4,31,85.0,0,12,18,-1.8807854182471004
4,31,85.0,0,12,24,-3.5623283933184666
4,31,85.0,0,12,25,-4.385267159593724
4,31,85.0,0,13,19,-1.77715018619746
4,31,85.0,0,13,23,-2.9149534902708183
4,31,85.0,0,13,26,-4.6333026478083355
4,31,85.0,0,14,19,-2.0130302821314245
4,31,85.0,0,14,20,-1.9953909574127522
4,31,85.0,0,14,21,-2.1862679295108336
4,31,85.0,0,14,22,-2.572223756277765
4,31,85.0,0,14,26,-4.028782123926703
4,31,85.0,0,15,27,-4.924685027535901
4,31,85.0,0,16,27,-4.233282150521632
4,31,85.0,0,17,27,-4.024278975766947
4,31,85.0,0,18,27,-4.2616529271089405
4,31,85.0,0,19,25,-3.0087657037714024
4,31,85.0,0,19,26,-3.5283258621824274
4,31,85.0,0,20,24,-2.743910836603675
4,31,85.0,0,21,24,-2.560491796168371
4,31,85.0,0,22,24,-3.135542157172708
4,31,85.0,0,23,23,-3.5265797487972748
4,32,86.0,0,12,18,-1.8851598082586563
