kper,kstp,k,i,j,CONFq
1,1,0,9,44,4.098298040888633
1,1,0,9,45,4.101658328928455
1,1,0,9,46,4.105440467489473
1,1,0,9,47,4.109689258116296
1,1,0,9,48,4.11438062149494
1,1,0,9,49,4.1194292409046955
1,1,0,9,50,4.124784251996818
1,1,0,9,51,4.130182485682857
1,1,0,9,52,4.136069803304283
1,1,0,9,53,4.14068162652584
1,1,0,9,54,4.143312936088945
1,1,0,10,11,4.014015393314951
1,1,0,10,12,4.010171346244537
1,1,0,10,13,4.007049645884182
1,1,0,10,14,4.0046379341675635
1,1,0,10,15,4.002888993012791
1,1,0,10,16,4.001732008418214
1,1,0,10,17,4.001091183122224
1,1,0,10,18,4.0009065530967
1,1,0,10,19,4.001143432595651
1,1,0,10,20,4.00178547183725
1,1,0,10,21,4.002826020979345
1,1,0,10,22,4.004262490546937
1,1,0,10,23,4.006092765585164
1,1,0,10,24,4.008313180862066
1,1,0,10,25,4.010917548297854
1,1,0,10,26,4.013896798248069
1,1,0,10,27,4.017239017097721
1,1,0,10,28,4.020929747535924
1,1,0,10,29,4.02495243207607
1,1,0,10,30,4.029288926931612
1,1,0,10,31,4.0339200994421915
1,1,0,10,32,4.038826578337096
1,1,0,10,33,4.043989741595174
1,1,0,10,34,4.049392984958862
1,1,0,10,35,4.055023201736633
1,1,0,10,36,4.0608722491008
1,1,0,10,37,4.066938085466624
1,1,0,10,38,4.073225482675143
1,1,0,10,39,4.0797473777795155
1,1,0,10,40,4.086531807588473
1,1,0,10,41,4.093652023543877
1,1,0,10,42,4.101343721225252
1,1,0,10,43,4.105011346313082
1,1,0,10,44,4.108207514215858
1,1,0,10,45,4.111600054952211
1,1,0,10,46,4.1153957791765965
1,1,0,10,47,4.119745728919714
1,1,0,10,48,4.124558829513424
1,1,0,10,49,4.129631029648136
1,1,0,10,50,4.135219666613333
1,1,0,10,51,4.140035422260768
1,1,0,10,52,4.143742056453695
1,1,0,10,53,4.14759193056428
1,1,0,10,54,4.151055511708831
1,1,0,10,55,4.1555178050561175
1,1,0,11,10,4.0238875222261274
1,1,0,11,11,4.019168707777741
1,1,0,11,12,4.015328028951814
1,1,0,11,13,4.0123579777443155
1,1,0,11,14,4.010179404144628
1,1,0,11,15,4.008716244269285
1,1,0,11,16,4.007861421707624
1,1,0,11,17,4.0075065118176205
1,1,0,11,18,4.007578239925044
1,1,0,11,19,4.008048199559102
1,1,0,11,20,4.008912265167648
1,1,0,11,21,4.010173660710095
1,1,0,11,22,4.011836141014117
1,1,0,11,23,4.013901333020721
1,1,0,11,24,4.016367383880484
1,1,0,11,25,4.019228335756543
1,1,0,11,26,4.022474092457589
1,1,0,11,27,4.026090809669887
1,1,0,11,28,4.030061523215302
1,1,0,11,29,4.0343668607255605
1,1,0,11,30,4.038985752487212
1,1,0,11,31,4.043896157885646
1,1,0,11,32,4.0490759172117485
1,1,0,11,33,4.0545038946849825
1,1,0,11,34,4.060161545236701
1,1,0,11,35,4.066034876346283
1,1,0,11,36,4.072116484229346
1,1,0,11,37,4.078406968293232
1,1,0,11,38,4.084914760060206
1,1,0,11,39,4.091653799623909
1,1,0,11,40,4.098641015835188
1,1,0,11,41,4.105903596617761
1,1,0,11,42,4.113520240260923
1,1,0,11,43,4.116285614342113
1,1,0,11,44,4.11923499031616
1,1,0,11,45,4.122453403661602
1,1,0,11,46,4.126112100010468
1,1,0,11,47,4.130654675829794
1,1,0,11,48,4.135793857717852
1,1,0,11,49,4.140632657043721
1,1,0,11,50,4.144186137475151
1,1,0,11,51,4.148441523767039
1,1,0,11,52,4.1525886246947135
1,1,0,11,53,4.1562065647221225
1,1,0,11,54,4.159117618683901
1,1,0,11,55,4.161298799289888
1,1,0,12,9,4.0373566154860345
1,1,0,12,10,4.029916262208808
1,1,0,12,11,4.024753094501367
1,1,0,12,12,4.020922666341471
1,1,0,12,13,4.018182780387923
1,1,0,12,14,4.016313757760988
1,1,0,12,15,4.0152436553051825
1,1,0,12,16,4.014799455210195
1,1,0,12,17,4.014803711025776
1,1,0,12,18,4.015160221053442
1,1,0,12,19,4.0158674858442645
1,1,0,12,20,4.0169505425356675
1,1,0,12,21,4.018429286429884
1,1,0,12,22,4.020316430676646
1,1,0,12,23,4.02261864211731
1,1,0,12,24,4.025336457011992
1,1,0,12,25,4.028464166173066
1,1,0,12,26,4.031990285917022
1,1,0,12,27,4.035898483290289
1,1,0,12,28,4.0401686595209405
1,1,0,12,29,4.044777965063549
1,1,0,12,30,4.04970165304748
1,1,0,12,31,4.054913828898449
1,1,0,12,32,4.060388294674528
1,1,0,12,33,4.066099788628907
1,1,0,12,34,4.072025916297129
1,1,0,12,35,4.078149888445941
1,1,0,12,36,4.084463743952089
1,1,0,12,37,4.0909709217948915
1,1,0,12,38,4.097685757464308
1,1,0,12,39,4.104625591483604
1,1,0,12,40,4.111788879869785
1,1,0,12,41,4.119115505170294
1,1,0,12,42,4.126486287126712
1,1,0,12,43,4.12869082193712
1,1,0,12,44,4.131308671110112
1,1,0,12,45,4.1341821310138975
1,1,0,12,46,4.1372606419027225
1,1,0,12,47,4.142283550926932
1,1,0,12,48,4.1455181529630405
1,1,0,12,49,4.149561016691212
1,1,0,12,50,4.153768180890079
1,1,0,12,51,4.158273757289862
1,1,0,12,52,4.163282568812255
1,1,0,12,53,4.166846657677192
1,1,0,12,54,4.169228500448476
1,1,0,12,55,4.170580053937027
1,1,0,13,8,4.023890539311639
1,1,0,13,9,4.0301301734008455
1,1,0,13,10,4.0349775429282175
1,1,0,13,11,4.030313648153852
1,1,0,13,12,4.026734525405132
1,1,0,13,13,4.024444866119312
1,1,0,13,14,4.022957697680274
1,1,0,13,15,4.022453894989596
1,1,0,13,16,4.0225978800165265
1,1,0,13,17,4.023057547975521
1,1,0,13,18,4.023700366152468
1,1,0,13,19,4.024619956128836
1,1,0,13,20,4.025902242184678
1,1,0,13,21,4.027585853496097
1,1,0,13,22,4.029691306618387
1,1,0,13,23,4.032230334489382
1,1,0,13,24,4.035205896505744
1,1,0,13,25,4.0386120053077175
1,1,0,13,26,4.0424348657091205
1,1,0,13,27,4.046654645437732
1,1,0,13,28,4.05124720996028
