kper,kstp,time,k,i,j,PWq
2,26,27.0,0,37,37,-4.9467563977017335
2,26,27.0,0,38,37,-8.207346156435733
2,26,27.0,0,39,38,-4.100305769686429
2,26,27.0,0,40,38,-5.352735740107846
2,26,27.0,0,41,38,-6.2589950920697675
2,26,27.0,0,42,38,-6.96616669048467
2,26,27.0,0,43,38,-7.037964675207718
2,26,27.0,0,44,38,-6.893852316973721
2,26,27.0,0,45,37,-4.039636380356569
2,26,27.0,0,45,38,-5.818306370656842
2,27,28.0,0,22,40,-8.269272421653
2,27,28.0,0,23,40,-8.19188753119272
2,27,28.0,0,24,39,-8.173429693084358
2,27,28.0,0,25,39,-1.7679101573544358
2,27,28.0,0,26,38,-1.8364142763633708
2,27,28.0,0,27,38,-18.78906208743922
2,27,28.0,0,28,38,12.351296187321964
2,27,28.0,0,29,37,-11.85431778495149
2,27,28.0,0,30,37,-6.300160533372036
2,27,28.0,0,31,37,2.0219982348053236
2,27,28.0,0,32,36,-5.592896358749044
2,27,28.0,0,33,36,-2.137545629406077
2,27,28.0,0,34,37,-4.906485418776356
2,27,28.0,0,35,37,-2.2826564884940126
2,27,28.0,0,36,37,-5.050620656401293
2,27,28.0,0,37,37,-4.914246386832588
2,27,28.0,0,38,37,-8.17655493618065
2,27,28.0,0,39,38,-4.066095965322347
2,27,28.0,0,40,38,-5.318594968374782
2,27,28.0,0,41,38,-6.224856393400728
2,27,28.0,0,42,38,-6.932028211326383
2,27,28.0,0,43,38,-7.003824389769534
2,27,28.0,0,44,38,-6.859637546431941
2,27,28.0,0,45,37,-4.00687443117954
2,27,28.0,0,45,38,-5.782715282532195
2,28,29.0,0,22,40,-8.19228649635204
2,28,29.0,0,23,40,-8.114969871977792
2,28,29.0,0,24,39,-8.096516894872252
2,28,29.0,0,25,39,-1.7356782451835215
2,28,29.0,0,26,38,-1.8041868360136277
2,28,29.0,0,27,38,-18.776288058764067
2,28,29.0,0,28,38,12.351743292513902
2,28,29.0,0,29,37,-11.852573673388292
2,28,29.0,0,30,37,-6.291454770042947
2,28,29.0,0,31,37,2.03909944437396
2,28,29.0,0,32,36,-5.575177039465075
2,28,29.0,0,33,36,-2.1185382547862446
2,28,29.0,0,34,37,-4.882240959660635
2,28,29.0,0,35,37,-2.253861003277052
2,28,29.0,0,36,37,-5.021354433842703
2,28,29.0,0,37,37,-4.885026980682596
2,28,29.0,0,38,37,-8.148964735116692
2,28,29.0,0,39,38,-4.035253256478995
2,28,29.0,0,40,38,-5.287823990843208
2,28,29.0,0,41,38,-6.194087650612232
2,28,29.0,0,42,38,-6.9012596675369196
2,28,29.0,0,43,38,-6.9730539074930675
2,28,29.0,0,44,38,-6.828790634837105
2,28,29.0,0,45,37,-3.9774162687128864
2,28,29.0,0,45,38,-5.750558211956218
2,29,30.0,0,22,40,-8.118103096492632
2,29,30.0,0,23,40,-8.040856241589609
2,29,30.0,0,24,39,-8.02240760642519
2,29,30.0,0,25,39,-1.7065520810475618
2,29,30.0,0,26,38,-1.77506459612664
2,29,30.0,0,27,38,-18.76484608876126
2,29,30.0,0,28,38,12.35256140269189
2,29,30.0,0,29,37,-11.849989093311478
2,29,30.0,0,30,37,-6.283190745520187
2,29,30.0,0,31,37,2.0544789416385356
2,29,30.0,0,32,36,-5.5585479398889674
2,29,30.0,0,33,36,-2.1002747482474433
2,29,30.0,0,34,37,-4.859971939293359
2,29,30.0,0,35,37,-2.227981228654926
2,29,30.0,0,36,37,-4.995053170108918
2,29,30.0,0,37,37,-4.858772691140757
2,29,30.0,0,38,37,-8.12425274502823
2,29,30.0,0,39,38,-4.0074509732780825
2,29,30.0,0,40,38,-5.260095949699917
2,29,30.0,0,41,38,-6.166362009808154
